Ticker1,Ticker2,GNNSimilarity,EmbeddingDistance,WasTrained,ActualPnL,ActualWinRate,ActualTrades
CRSP,REGN,0.6420769095420837,2.4800984859466553,False,,,
REGN,SDGR,0.6340084075927734,2.631030559539795,False,,,
RARE,REGN,0.4854375123977661,1.9678329229354858,False,,,
REGN,XRAY,0.4781184196472168,2.027686834335327,False,,,
NVAX,XBI,0.4533939063549042,4.522022247314453,False,,,
EXAS,REGN,0.408225417137146,1.663532018661499,False,,,
ENTA,XBI,0.3848963975906372,6.167238712310791,False,,,
BIIB,XBI,0.3717578649520874,6.181778430938721,False,,,
MRNA,REGN,0.37084490060806274,1.4886043071746826,False,,,
DRIO,XBI,0.36754244565963745,2.991671085357666,False,,,
VRTX,XBI,0.36058521270751953,4.481439590454102,False,,,
GILD,REGN,0.3595341444015503,0.7537186741828918,False,,,
SDGR,XBI,0.3376532196998596,2.725435733795166,False,,,
SRPT,XBI,0.33407044410705566,2.2863354682922363,False,,,
INCY,PFE,0.3325612545013428,0.12013480812311172,False,,,
TMDX,XBI,0.33094799518585205,4.999019622802734,False,,,
INCY,UNH,0.3156750500202179,0.0845242515206337,True,19.81546266694588,94.44444444444444,18.0
ILMN,REGN,0.3076343536376953,1.3768254518508911,False,,,
PFE,UNH,0.30530089139938354,0.07083769887685776,False,,,
DXCM,REGN,0.3002566695213318,1.4621368646621704,False,,,
IHF,INCY,0.29241397976875305,0.1058252826333046,True,19.342598604307508,100.0,24.0
CRSP,XBI,0.2900925874710083,2.601504325866699,False,,,
BNTX,XBI,0.2897919714450836,3.3611693382263184,False,,,
IHF,PFE,0.2798633277416229,0.11586906015872955,False,,,
IHI,INCY,0.2770862281322479,0.14578892290592194,False,,,
XBI,XRAY,0.27507418394088745,2.104891777038574,False,,,
IHI,PFE,0.2697792053222656,0.11399035155773163,False,,,
MRK,PFE,0.26711323857307434,0.13461296260356903,False,,,
INCY,MRK,0.26479387283325195,0.2136213183403015,False,,,
IHF,UNH,0.2643857002258301,0.057622943073511124,False,,,
ALGN,INCY,0.2602299451828003,0.19489580392837524,False,,,
JNJ,PFE,0.25493186712265015,0.16169138252735138,False,,,
RARE,XBI,0.2541341483592987,2.0610530376434326,False,,,
IHI,UNH,0.25230810046195984,0.0829186663031578,False,,,
INCY,JNJ,0.25013625621795654,0.2420950084924698,False,,,
MRK,UNH,0.24725599586963654,0.12951716780662537,False,,,
ALGN,PFE,0.24508008360862732,0.21309490501880646,False,,,
ACAD,INCY,0.2433352768421173,0.19157502055168152,False,,,
REGN,SRPT,0.24307098984718323,2.3444321155548096,False,,,
RGEN,XBI,0.23942385613918304,2.519150495529175,False,,,
JNJ,UNH,0.23499879240989685,0.157955139875412,False,,,
IHF,IHI,0.233167827129364,0.05185144767165184,False,,,
ALGN,UNH,0.23160672187805176,0.17690585553646088,False,,,
EXAS,XBI,0.22794708609580994,1.7438069581985474,True,11.55877178995599,100.0,26.0
INCY,TMO,0.22687703371047974,0.21882568299770355,False,,,
ACAD,PFE,0.22556114196777344,0.22220394015312195,False,,,
IHF,MRK,0.22424395382404327,0.14258772134780884,False,,,
LLY,XBI,0.2240598201751709,4.406762599945068,False,,,
PFE,TMO,0.22186172008514404,0.1871914565563202,False,,,
DXCM,XBI,0.22053471207618713,1.4866926670074463,False,,,
ABBV,REGN,0.22026695311069489,0.4042717516422272,False,,,
ALGN,IHF,0.21746312081813812,0.13082587718963623,False,,,
ACAD,UNH,0.21680885553359985,0.16068193316459656,False,,,
IHI,MRK,0.2167622596025467,0.12122100591659546,False,,,
JNJ,MRK,0.21537905931472778,0.030275961384177208,False,,,
IHF,JNJ,0.21236176788806915,0.16660244762897491,False,,,
ILMN,XBI,0.21068723499774933,1.4151006937026978,False,,,
ALGN,IHI,0.20815639197826385,0.12299900501966476,False,,,
